time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1523504683.46259904,0.01242437,8144,0.00296411,0.00000000,0,0.00000000,1034621,1035264,1002,0.00000016
1523504683.56345797,0.01181533,8190,0.00246313,0.00000000,0,0.00000000,1035264,1035961,989,0.00000021
1523504683.66430998,0.01316904,8222,0.00271591,0.00000000,0,0.00000000,1035961,1036590,987,0.00000021
1523504683.76517391,0.01249156,8274,0.00246797,0.00000000,0,0.00000000,1036590,1037257,980,0.00000029
1523504683.86603189,0.01434904,8361,0.00298466,0.00000000,0,0.00000000,1037257,1037900,1020,0.00000012
1523504683.96689010,0.01405500,8398,0.00294094,0.00000000,0,0.00000000,1037900,1038580,1038,0.00000024
1523504684.06775808,0.01937587,8451,0.00663695,0.00000000,0,0.00000000,1038553,1039440,1028,0.00000033
1523504684.16861510,0.01664697,8471,0.00326400,0.00000000,0,0.00000000,1039440,1034938,1071,0.00000015
1523504684.26947308,0.01342552,8502,0.00267786,0.00000000,0,0.00000000,1034938,1035774,1067,0.00000020
1523504684.37033701,0.01296657,8535,0.00254592,0.00000000,0,0.00000000,1035774,1036615,1073,0.00000024
1523504684.47119689,0.01236960,8579,0.00259514,0.00000000,0,0.00000000,1036615,1037438,1075,0.00000014
1523504684.57205510,0.01590203,8573,0.00322330,0.00000000,0,0.00000000,1037438,1038207,1129,0.00000019
1523504684.67291188,0.01705201,8590,0.00298898,0.00000000,0,0.00000000,1038207,1038908,1046,0.00000014
1523504684.77376509,0.01871378,8624,0.00471756,0.00000000,0,0.00000000,1038908,1039686,1067,0.00000034
1523504684.87462902,0.01502415,8673,0.00285880,0.00000000,0,0.00000000,1039686,1040451,1104,0.00000017
1523504684.97548008,0.01233264,8688,0.00285802,0.00000000,0,0.00000000,1040451,1041216,1145,0.00000033
1523504685.07633805,0.01947411,8729,0.00459353,0.00000000,0,0.00000000,1041216,1041877,1103,0.00000018
1523504685.17719889,0.01354509,8774,0.00288552,0.00000000,0,0.00000000,1041877,1042646,1131,0.00000021
1523504685.27805495,0.01632767,8834,0.00430796,0.00000000,0,0.00000000,1042646,1043253,1163,0.00000018
1523504685.37892008,0.01625178,8895,0.00362553,0.00000000,0,0.00000000,1043244,1044003,1227,0.00000018
